Date,Open,High,Low,Close,Adj Close,Volume
11-09-2017,9971.75,10131.9502,9968.799805,10085.40039,10085.40039,1062800
18-09-2017,10133.09961,10178.9502,9952.799805,9964.400391,9964.400391,961400
25-09-2017,9960.099609,9960.5,9687.549805,9788.599609,9788.599609,1193700
02-10-2017,9893.299805,9989.349609,9831.049805,9979.700195,9979.700195,662600
09-10-2017,9988.200195,10191.90039,9955.799805,10167.4502,10167.4502,913200
16-10-2017,10207.40039,10251.84961,10123.34961,10146.54981,10146.54981,683100
23-10-2017,10176.65039,10366.15039,10124.5,10323.04981,10323.04981,1771900
30-10-2017,10353.84961,10461.7002,10323.9502,10452.5,10452.5,1131200
06-11-2017,10431.75,10490.4502,10254.09961,10321.75,10321.75,1274600
13-11-2017,10322,10343.59961,10094,10283.59961,10283.59961,1108600
20-11-2017,10287.2002,10404.5,10261.5,10389.7002,10389.7002,773100
27-11-2017,10361.04981,10409.54981,10108.54981,10121.79981,10121.79981,976300
04-12-2017,10175.04981,10270.84961,10033.34961,10265.65039,10265.65039,836400
11-12-2017,10310.5,10373.09961,10141.54981,10333.25,10333.25,913500
18-12-2017,10263.09961,10501.09961,10074.79981,10493,10493,865400
25-12-2017,10512.29981,10552.40039,10460.4502,10530.7002,10530.7002,745700
01-01-2018,10477.54981,10566.09961,10404.65039,10558.84961,10558.84961,676500
08-01-2018,10591.7002,10690.40039,10588.54981,10681.25,10681.25,879400
15-01-2018,10718.5,10906.84961,10666.75,10894.7002,10894.7002,1159200
22-01-2018,10883.2002,11110.09961,10881.40039,11069.65039,11069.65039,1129900
29-01-2018,11079.34961,11171.54981,10736.09961,10760.59961,10760.59961,1304500
05-02-2018,10604.29981,10702.75,10276.29981,10454.9502,10454.9502,1180800
12-02-2018,10518.2002,10618.09961,10434.04981,10452.29981,10452.29981,841500
19-02-2018,10488.90039,10499.09961,10302.75,10491.04981,10491.04981,1133300
26-02-2018,10526.54981,10631.65039,10447.15039,10458.34961,10458.34961,821400
05-03-2018,10428.29981,10441.34961,10141.54981,10226.84961,10226.84961,1079300
